protocol_id,setting,seed,method,analysis_type,application,precision,recall,f1,support,known_frr,unknown_recall,ufar,score_mean,score_median,top_absorbing_known_class,top_absorbed_count,hard_class
low_seed2026,Low,2026,M2,known_true_class,skype,1.0,0.9285714285714286,0.9629629629629629,126,0.15079365079365079,,,26.645974678187923,17.439476639147237,,,False
low_seed2026,Low,2026,M2,known_true_class,ssh,0.9926739926739927,0.9992625368731564,0.9959573686144799,1356,0.03761061946902655,,,3.266947037174691,-0.6347623411786987,,,False
low_seed2026,Low,2026,M2,known_true_class,vimeo,0.9917355371900827,0.9917355371900827,0.9917355371900827,121,0.049586776859504134,,,13.338692659384144,5.861140701656661,,,False
low_seed2026,Low,2026,M2,known_true_class,zoiper,0.9888888888888889,0.956989247311828,0.9726775956284153,93,0.12903225806451613,,,22.103191291329352,12.737749859257667,,,False
low_seed2026,Low,2026,M2,unknown_true_class,sftp,,,,1668,,0.046762589928057555,0.9532374100719424,7.513872981798658,2.5811425562771855,rsync,1275,True
low_seed2026,Low,2026,M2,unknown_true_class,youtube,,,,341,,0.35777126099706746,0.6422287390029325,68.18474335054756,25.953770091681314,netflix,293,False
medium_seed2022,Medium,2022,M0,known_true_class,netflix,0.9444444444444444,0.85,0.8947368421052632,20,0.15,,,15.863691890239716,3.5950766801834106,,,False
medium_seed2022,Medium,2022,M0,known_true_class,rsync,0.6147859922178989,0.8272251308900523,0.7053571428571429,191,0.11518324607329843,,,9.457916524397765,8.320091247558594,,,True
medium_seed2022,Medium,2022,M0,known_true_class,sftp,0.6979166666666666,0.4036144578313253,0.5114503816793893,166,0.04216867469879518,,,8.255399959633149,8.154669284820557,,,True
medium_seed2022,Medium,2022,M0,known_true_class,ssh,0.9977924944812362,1.0,0.9988950276243094,1356,0.028023598820058997,,,1.2720483429839828,0.5707589983940125,,,False
medium_seed2022,Medium,2022,M0,known_true_class,vimeo,0.9166666666666666,1.0,0.9565217391304348,121,0.05785123966942149,,,5.334861083956789,0.651075541973114,,,False
medium_seed2022,Medium,2022,M0,known_true_class,youtube,1.0,0.7352941176470589,0.847457627118644,34,0.29411764705882354,,,23.59648061499876,3.7216742038726807,,,False
medium_seed2022,Medium,2022,M0,known_true_class,zoiper,0.9893617021276596,1.0,0.9946524064171123,93,0.021505376344086023,,,1.792016980468586,0.908008873462677,,,False
medium_seed2022,Medium,2022,M0,unknown_true_class,rdp,,,,44,,0.7045454545454546,0.29545454545454547,21.705601571635768,16.763736724853516,ssh,18,False
medium_seed2022,Medium,2022,M0,unknown_true_class,scp,,,,2290,,0.09519650655021834,0.9048034934497816,8.898131237800465,8.305241584777832,rsync,1785,True
medium_seed2022,Medium,2022,M0,unknown_true_class,skype,,,,1269,,0.7565011820330969,0.24349881796690306,16.920762567467534,12.643108367919922,zoiper,564,False
medium_seed2022,Medium,2022,M1,known_true_class,netflix,0.9444444444444444,0.85,0.8947368421052632,20,0.2,,,4.572763342548545,1.4920295172578861,,,False
medium_seed2022,Medium,2022,M1,known_true_class,rsync,0.6233766233766234,0.7539267015706806,0.6824644549763034,191,0.041884816753926704,,,0.6087655884088267,0.17264895982712009,,,True
medium_seed2022,Medium,2022,M1,known_true_class,sftp,0.632,0.4759036144578313,0.5429553264604811,166,0.018072289156626505,,,0.43779397907562106,0.22266913444021894,,,True
medium_seed2022,Medium,2022,M1,known_true_class,ssh,0.9985272459499264,1.0,0.9992630803242447,1356,0.028761061946902654,,,0.2696823616484298,0.022699740394779015,,,False
medium_seed2022,Medium,2022,M1,known_true_class,vimeo,1.0,0.9504132231404959,0.9745762711864406,121,0.06611570247933884,,,1.4914558246442793,0.15853992106816095,,,False
medium_seed2022,Medium,2022,M1,known_true_class,youtube,0.7857142857142857,0.9705882352941176,0.868421052631579,34,0.5882352941176471,,,6.788677958049611,2.231264633458961,,,False
medium_seed2022,Medium,2022,M1,known_true_class,zoiper,1.0,0.989247311827957,0.9945945945945946,93,0.021505376344086023,,,0.6129444092048133,0.19880866169515304,,,False
medium_seed2022,Medium,2022,M1,unknown_true_class,rdp,,,,44,,0.8409090909090909,0.1590909090909091,12.14915115774797,13.21695201203938,ssh,16,False
medium_seed2022,Medium,2022,M1,unknown_true_class,scp,,,,2290,,0.03711790393013101,0.962882096069869,0.45291416939414386,0.1847083414585103,rsync,1638,True
medium_seed2022,Medium,2022,M1,unknown_true_class,skype,,,,1269,,0.9992119779353822,0.0007880220646178094,10.542608048670486,9.43240971363536,zoiper,498,False
medium_seed2022,Medium,2022,M2,known_true_class,netflix,0.9444444444444444,0.85,0.8947368421052632,20,0.3,,,76.53888876000647,34.31179103521809,,,False
medium_seed2022,Medium,2022,M2,known_true_class,rsync,0.6233766233766234,0.7539267015706806,0.6824644549763034,191,0.041884816753926704,,,12.390879248115258,4.601228823198003,,,True
medium_seed2022,Medium,2022,M2,known_true_class,sftp,0.632,0.4759036144578313,0.5429553264604811,166,0.018072289156626505,,,8.881829231058761,5.276883759960633,,,True
medium_seed2022,Medium,2022,M2,known_true_class,ssh,0.9985272459499264,1.0,0.9992630803242447,1356,0.028761061946902654,,,3.386980020968813,-0.5619750296395138,,,False
medium_seed2022,Medium,2022,M2,known_true_class,vimeo,1.0,0.9504132231404959,0.9745762711864406,121,0.06611570247933884,,,27.620777555210637,8.301847245234349,,,False
medium_seed2022,Medium,2022,M2,known_true_class,youtube,0.7857142857142857,0.9705882352941176,0.868421052631579,34,0.5588235294117647,,,112.51296627477912,45.68136434369652,,,False
medium_seed2022,Medium,2022,M2,known_true_class,zoiper,1.0,0.989247311827957,0.9945945945945946,93,0.021505376344086023,,,13.216347349796681,5.727899443236276,,,False
medium_seed2022,Medium,2022,M2,unknown_true_class,rdp,,,,44,,0.9090909090909091,0.09090909090909091,239.99591536397892,257.1781599051855,ssh,16,False
medium_seed2022,Medium,2022,M2,unknown_true_class,scp,,,,2290,,0.032314410480349345,0.9676855895196507,9.57983649713719,5.03580453474979,rsync,1638,True
medium_seed2022,Medium,2022,M2,unknown_true_class,skype,,,,1269,,0.9992119779353822,0.0007880220646178094,216.22962336524503,195.87809604518588,zoiper,498,False
medium_seed2023,Medium,2023,M0,known_true_class,rdp,1.0,1.0,1.0,4,1.0,,,22.605413913726807,22.042325973510742,,,False
medium_seed2023,Medium,2023,M0,known_true_class,rsync,0.37209302325581395,0.418848167539267,0.39408866995073893,191,0.005235602094240838,,,3.413727350884083,3.1828320026397705,,,True
medium_seed2023,Medium,2023,M0,known_true_class,scp,0.39662447257383965,0.4104803493449782,0.4034334763948498,229,0.0,,,3.3670475181013217,3.178952217102051,,,True
