method,protocol_id,setting,protocol_seed,class,local_label,precision,recall,f1,support,train_support,delta_precision_vs_od,delta_recall_vs_od,delta_f1_vs_od
f2,low_seed2023,Low,2023,youtube,6,0.9411764705882352,0.9411764705882352,0.9411764705882352,34,273,-0.001680672268907668,-0.02941176470588247,-0.015345268542199642
od,low_seed2023,Low,2023,zoiper,7,1.0,1.0,1.0,93,753,0.0,0.0,0.0
f0,low_seed2023,Low,2023,zoiper,7,1.0,1.0,1.0,93,753,0.0,0.0,0.0
f2,low_seed2023,Low,2023,zoiper,7,1.0,0.989247311827957,0.9945945945945946,93,753,0.0,-0.010752688172043001,-0.00540540540540535
od,low_seed2024,Low,2024,netflix,0,1.0,0.8,0.8888888888888888,20,165,0.0,0.0,0.0
f0,low_seed2024,Low,2024,netflix,0,0.3333333333333333,0.05,0.0869565217391304,20,165,-0.6666666666666667,-0.75,-0.8019323671497585
f2,low_seed2024,Low,2024,netflix,0,0.0,0.0,0.0,20,165,-1.0,-0.8,-0.8888888888888888
od,low_seed2024,Low,2024,rdp,1,0.5,0.25,0.3333333333333333,4,36,0.0,0.0,0.0
f0,low_seed2024,Low,2024,rdp,1,0.0,0.0,0.0,4,36,-0.5,-0.25,-0.3333333333333333
f2,low_seed2024,Low,2024,rdp,1,0.0,0.0,0.0,4,36,-0.5,-0.25,-0.3333333333333333
od,low_seed2024,Low,2024,scp,2,0.7147766323024055,0.9082969432314411,0.8,229,1832,0.0,0.0,0.0
f0,low_seed2024,Low,2024,scp,2,0.5659824046920822,0.8427947598253275,0.6771929824561405,229,1832,-0.14879422761032335,-0.06550218340611358,-0.12280701754385959
f2,low_seed2024,Low,2024,scp,2,0.6467391304347826,0.519650655021834,0.5762711864406779,229,1832,-0.06803750186762292,-0.388646288209607,-0.22372881355932217
od,low_seed2024,Low,2024,sftp,3,0.7980769230769231,0.5,0.6148148148148148,166,1336,0.0,0.0,0.0
f0,low_seed2024,Low,2024,sftp,3,0.0,0.0,0.0,166,1336,-0.7980769230769231,-0.5,-0.6148148148148148
f2,low_seed2024,Low,2024,sftp,3,0.4778325123152709,0.5843373493975904,0.5257452574525746,166,1336,-0.3202444107616522,0.08433734939759041,-0.0890695573622402
od,low_seed2024,Low,2024,skype,4,0.9689922480620154,0.9920634920634921,0.9803921568627451,126,1017,0.0,0.0,0.0
f0,low_seed2024,Low,2024,skype,4,0.954954954954955,0.8412698412698413,0.8945147679324894,126,1017,-0.014037293107060478,-0.1507936507936508,-0.08587738893025565
f2,low_seed2024,Low,2024,skype,4,0.9609375,0.9761904761904762,0.968503937007874,126,1017,-0.008054748062015449,-0.015873015873015928,-0.011888219854871096
od,low_seed2024,Low,2024,vimeo,5,1.0,0.9917355371900827,0.995850622406639,121,976,0.0,0.0,0.0
f0,low_seed2024,Low,2024,vimeo,5,0.855072463768116,0.975206611570248,0.911196911196911,121,976,-0.14492753623188404,-0.016528925619834656,-0.08465371120972798
f2,low_seed2024,Low,2024,vimeo,5,0.9836065573770492,0.9917355371900828,0.9876543209876544,121,976,-0.016393442622950838,1.1102230246251565e-16,-0.008196301418984642
od,low_seed2024,Low,2024,youtube,6,0.8947368421052632,1.0,0.9444444444444444,34,273,0.0,0.0,0.0
f0,low_seed2024,Low,2024,youtube,6,0.5714285714285714,0.3529411764705882,0.4363636363636363,34,273,-0.32330827067669177,-0.6470588235294118,-0.5080808080808081
f2,low_seed2024,Low,2024,youtube,6,0.5862068965517241,1.0,0.7391304347826086,34,273,-0.3085299455535391,0.0,-0.20531400966183577
od,low_seed2024,Low,2024,zoiper,7,1.0,1.0,1.0,93,753,0.0,0.0,0.0
f0,low_seed2024,Low,2024,zoiper,7,0.5139664804469274,0.989247311827957,0.6764705882352942,93,753,-0.4860335195530726,-0.010752688172043001,-0.32352941176470584
f2,low_seed2024,Low,2024,zoiper,7,0.9484536082474226,0.989247311827957,0.968421052631579,93,753,-0.05154639175257736,-0.010752688172043001,-0.03157894736842104
