replicate,delta_unknown_far_multi_minus_single,delta_auroc_multi_minus_single,delta_auprc_multi_minus_single
213,0.006273525721455453,0.018355409184595217,0.014916239296459743
214,0.007528230865746499,0.017515423048217516,0.014563234527624425
215,0.003943359024914828,0.017438500362036202,0.01576192530229603
216,0.0007169743681663121,0.019468331042612586,0.016676504460757913
217,0.006990500089621765,0.017070912838654473,0.014513134619665191
218,0.0034056282487900935,0.0179097697056555,0.013470208007188511
219,0.004481089801039562,0.01842744664318019,0.015228045884102315
220,-0.0019716795124574693,0.019332144465007195,0.01701599083612937
221,0.008245205233912922,0.0174000224728742,0.018551913953714416
222,0.0034056282487900935,0.01733821048644668,0.01626951357346612
223,0.004301846208998095,0.017227256667806223,0.011048140561751296
224,0.0030471410647069375,0.018882848304276667,0.014606294591640478
225,0.0012547051442910462,0.017844073528954563,0.017076018606570875
226,0.0037641154328732496,0.02048392477183003,0.016635750600895782
227,0.0034056282487900935,0.018714616122786576,0.015394260593994125
228,-0.0012547051442910462,0.019770040382507514,0.01680921363174176
229,0.005735794945330719,0.01974977144497836,0.014006059308043273
230,-0.0023301666965406254,0.018557296075419227,0.01676087369819318
231,0.004660333393081251,0.01782381286446133,0.016320967418132104
232,0.0007169743681664231,0.01991144310913784,0.017064304077753
233,0.0014339487363326242,0.018214300150732998,0.013036018263740734
234,0.0025094102885822034,0.018167524406737634,0.013559469411748404
235,0.0025094102885822034,0.01932366460338797,0.015508915612001573
236,0.003943359024914939,0.019096718687349745,0.016375422320763444
237,0.0035848718408316715,0.017642972576524585,0.018230597096992485
238,0.0012547051442911572,0.0166996603604459,0.01595230871256531
239,0.004122602616956406,0.018186961904176124,0.014758035215600651
240,0.005018820577164407,0.018233654917814368,0.015914783724473525
241,0.005735794945330719,0.01780179831639417,0.014518063808057202
242,0.0014339487363327352,0.017425180774517268,0.011815639810556
243,0.0028678974726653594,0.01936827694854104,0.014148404151869132
244,0.0017924359204157803,0.020357806478703555,0.014763076337357961
245,0.0023301666965405143,0.01955518964470071,0.014830769821214618
246,0.0030471410647069375,0.01749440540095537,0.015574448025435172
247,0.0035848718408316715,0.019940047130160843,0.012128006927291046
248,0.0035848718408316715,0.018555066492290995,0.01557730156388093
249,0.0014339487363326242,0.018469974183330073,0.016414262514556743
250,0.0017924359204158913,0.01888513166213701,0.013305235420912442
251,0.0014339487363327352,0.018121522191582695,0.013426105381230069
252,-0.0012547051442910462,0.019370324524883298,0.018686663068268772
253,0.0037641154328732496,0.018243371598274494,0.014559750478534306
254,0.0023301666965405143,0.018041298564146935,0.015484544117749022
255,0.00017924359204157803,0.01840672268868626,0.014251777013954359
256,0.0016131923283743133,0.017515468549914148,0.016192947832797122
257,0.0021509231044990473,0.018020078227509395,0.015447623338800509
258,0.0012547051442911572,0.018958546581170577,0.019503049463034217
259,-0.00017924359204157803,0.01828295393770607,0.0186316507990672
260,0.0021509231044990473,0.020734333017187523,0.0176086700306351
261,0.004481089801039673,0.018428704144610508,0.01364369453091896
262,0.0025094102885820924,0.01800415263373667,0.012026413563615168
263,-0.0007169743681663121,0.019096524271010384,0.017821320606835334
264,0.0010754615522495792,0.018394499278400867,0.014724671737614992
265,0.0017924359204158913,0.01777559761224956,0.016854580646520845
266,0.00466033339308114,0.018853363204949014,0.014911976863295928
267,0.0010754615522495792,0.019165893675573642,0.011782205634814469
268,0.004301846208998095,0.017498835611586827,0.01111633244015775
269,0.0030471410647069375,0.01957930554384224,0.016921289393773575
270,0.0032263846567486265,0.018314726531412195,0.016107039332434903
271,0.004839576985122718,0.01861861581622093,0.01465116570220304
272,0.0019716795124574693,0.020773203875546598,0.017666888716302898
273,-0.00017924359204157803,0.018058841536404024,0.014171611704687115
274,0.0032263846567485155,0.018511508959193068,0.017800655085873807
275,0.0014339487363327352,0.01653660296280246,0.014091625395500962
276,-0.0005377307761247341,0.016639854585181912,0.015912953323540535
277,0.004481089801039562,0.019019589175275575,0.012972407935444907
278,-0.0007169743681663121,0.018261468863925434,0.015894127774720435
279,0.004122602616956406,0.018554127502736106,0.018370200345291576
280,0.004301846208998095,0.019513534909819885,0.013041888041867511
281,0.0014339487363326242,0.01858747610974787,0.015862040399706345
282,0.004481089801039673,0.01921852672886304,0.013821236178913232
